141733920768,NAMESPACE_BLOCK,<empty>,,<unknown>,<global>,,<global>,,,1
141733920769,NAMESPACE_BLOCK,<empty>,,cli/cmdlinelogger.h,cli/cmdlinelogger.h:<global>,,<global>,,,1
141733920770,NAMESPACE_BLOCK,<empty>,,cli/cmdlineparser.cpp,cli/cmdlineparser.cpp:<global>,,<global>,,,1
141733920771,NAMESPACE_BLOCK,"namespace {
    class XMLErrorMessagesLogger : public ErrorLogger
    {
        void reportOut(const std::string & outmsg, Color /*c*/ = Color::Reset) override
        {
            std::cout << outmsg << std::endl;
        }

        void reportErr(const ErrorMessage &msg) override
        {
            reportOut(msg.toXML());
        }

        void reportProgress(const std::string & /*filename*/, const char /*stage*/[], const std::size_t /*value*/) override
        {}
    };
}",1,cli/cmdlineparser.cpp,<namespace>0,118,<namespace>0,,,4
141733920772,NAMESPACE_BLOCK,<empty>,,cli/cmdlineparser.h,cli/cmdlineparser.h:<global>,,<global>,,,1
141733920773,NAMESPACE_BLOCK,<empty>,,cli/cppcheckexecutor.cpp,cli/cppcheckexecutor.cpp:<global>,,<global>,,,1
141733920774,NAMESPACE_BLOCK,"namespace {
    class SarifReport {
    public:
        void addFinding(ErrorMessage msg) {
            mFindings.push_back(std::move(msg));
        }

        picojson::array serializeRules() const {
            picojson::array ret;
            std::set<std::string> ruleIds;
            for (const auto& finding : mFindings) {
                // github only supports findings with locations
                if (finding.callStack.empty())
                    continue;
                if (ruleIds.insert(finding.id).second) {
                    picojson::object rule;
                    rule[""id""] = picojson::value(finding.id);
                    // rule.shortDescription.text
                    picojson::object shortDescription;
                    shortDescription[""text""] = picojson::value(finding.shortMessage());
                    rule[""shortDescription""] = picojson::value(shortDescription);
                    // rule.fullDescription.text
                    picojson::object full...",1,cli/cppcheckexecutor.cpp,<namespace>0,80,<namespace>0,,,1
141733920775,NAMESPACE_BLOCK,<empty>,,cli/cppcheckexecutor.h,cli/cppcheckexecutor.h:<global>,,<global>,,,1
141733920776,NAMESPACE_BLOCK,<empty>,,cli/executor.cpp,cli/executor.cpp:<global>,,<global>,,,1
141733920777,NAMESPACE_BLOCK,<empty>,,cli/executor.h,cli/executor.h:<global>,,<global>,,,1
141733920778,NAMESPACE_BLOCK,<empty>,,cli/filelister.cpp,cli/filelister.cpp:<global>,,<global>,,,1
141733920779,NAMESPACE_BLOCK,<empty>,,cli/filelister.h,cli/filelister.h:<global>,,<global>,,,1
141733920780,NAMESPACE_BLOCK,<empty>,,cli/main.cpp,cli/main.cpp:<global>,,<global>,,,1
141733920781,NAMESPACE_BLOCK,<empty>,,cli/precompiled.h,cli/precompiled.h:<global>,,<global>,,,1
141733920782,NAMESPACE_BLOCK,<empty>,,cli/processexecutor.cpp,cli/processexecutor.cpp:<global>,,<global>,,,1
141733920783,NAMESPACE_BLOCK,"namespace {
    class PipeWriter : public ErrorLogger {
    public:
        enum PipeSignal : std::uint8_t {REPORT_OUT='1',REPORT_ERROR='2',REPORT_SUPPR_INLINE='3',CHILD_END='5'};

        explicit PipeWriter(int pipe) : mWpipe(pipe) {}

        void reportOut(const std::string &outmsg, Color c) override {
            writeToPipe(REPORT_OUT, static_cast<char>(c) + outmsg);
        }

        void reportErr(const ErrorMessage &msg) override {
            writeToPipe(REPORT_ERROR, msg.serialize());
        }

        void writeSuppr(const SuppressionList &supprs) const {
            for (const auto& suppr : supprs.getSuppressions())
            {
                if (!suppr.isInline)
                    continue;

                writeToPipe(REPORT_SUPPR_INLINE, suppressionToString(suppr));
            }
            // TODO: update suppression states?
        }

        void writeEnd(const std::string& str) const {
            writeToPipe(CHILD_END, str);
        }

    private:
      ...",1,cli/processexecutor.cpp,<namespace>0,78,<namespace>0,,,3
141733920784,NAMESPACE_BLOCK,<empty>,,cli/processexecutor.h,cli/processexecutor.h:<global>,,<global>,,,1
141733920785,NAMESPACE_BLOCK,<empty>,,cli/sehwrapper.cpp,cli/sehwrapper.cpp:<global>,,<global>,,,1
141733920786,NAMESPACE_BLOCK,"namespace {
    const ULONG maxnamelength = 512;
    struct IMAGEHLP_SYMBOL64_EXT : public IMAGEHLP_SYMBOL64 {
        TCHAR nameExt[maxnamelength]; // actually no need to worry about character encoding here
    };
    typedef BOOL (WINAPI *fpStackWalk64)(DWORD, HANDLE, HANDLE, LPSTACKFRAME64, PVOID, PREAD_PROCESS_MEMORY_ROUTINE64, PFUNCTION_TABLE_ACCESS_ROUTINE64, PGET_MODULE_BASE_ROUTINE64, PTRANSLATE_ADDRESS_ROUTINE64);
    fpStackWalk64 pStackWalk64;
    typedef DWORD64 (WINAPI *fpSymGetModuleBase64)(HANDLE, DWORD64);
    fpSymGetModuleBase64 pSymGetModuleBase64;
    typedef BOOL (WINAPI *fpSymGetSymFromAddr64)(HANDLE, DWORD64, PDWORD64, PIMAGEHLP_SYMBOL64);
    fpSymGetSymFromAddr64 pSymGetSymFromAddr64;
    typedef BOOL (WINAPI *fpSymGetLineFromAddr64)(HANDLE, DWORD64, PDWORD, PIMAGEHLP_LINE64);
    fpSymGetLineFromAddr64 pSymGetLineFromAddr64;
    typedef DWORD (WINAPI *fpUnDecorateSymbolName)(const TCHAR*, PTSTR, DWORD, DWORD);
    fpUnDecorateSymbolName pUnDecorateSymbolNam...",1,cli/sehwrapper.cpp,<namespace>0,36,<namespace>0,,,4
141733920787,NAMESPACE_BLOCK,"namespace internal
{
    int filter_seh_exeception(int code, void* ex)
    {
        return filterException(sehOutput, code, static_cast<PEXCEPTION_POINTERS>(ex));
    }
}",1,cli/sehwrapper.cpp,internal,262,internal,,,5
141733920788,NAMESPACE_BLOCK,<empty>,,cli/sehwrapper.h,cli/sehwrapper.h:<global>,,<global>,,,1
141733920789,NAMESPACE_BLOCK,<empty>,,cli/signalhandler.cpp,cli/signalhandler.cpp:<global>,,<global>,,,1
141733920790,NAMESPACE_BLOCK,<empty>,,cli/signalhandler.h,cli/signalhandler.h:<global>,,<global>,,,1
141733920791,NAMESPACE_BLOCK,<empty>,,cli/singleexecutor.cpp,cli/singleexecutor.cpp:<global>,,<global>,,,1
141733920792,NAMESPACE_BLOCK,<empty>,,cli/singleexecutor.h,cli/singleexecutor.h:<global>,,<global>,,,1
141733920793,NAMESPACE_BLOCK,<empty>,,cli/stacktrace.cpp,cli/stacktrace.cpp:<global>,,<global>,,,1
141733920794,NAMESPACE_BLOCK,<empty>,,cli/stacktrace.h,cli/stacktrace.h:<global>,,<global>,,,1
141733920795,NAMESPACE_BLOCK,<empty>,,cli/threadexecutor.cpp,cli/threadexecutor.cpp:<global>,,<global>,,,1
141733920796,NAMESPACE_BLOCK,<empty>,,cli/threadexecutor.h,cli/threadexecutor.h:<global>,,<global>,,,1
141733920797,NAMESPACE_BLOCK,<empty>,,democlient/democlient.cpp,democlient/democlient.cpp:<global>,,<global>,,,1
141733920798,NAMESPACE_BLOCK,<empty>,,externals/picojson/picojson.h,externals/picojson/picojson.h:<global>,,<global>,,,1
141733920799,NAMESPACE_BLOCK,<empty>,,externals/simplecpp/simplecpp.cpp,externals/simplecpp/simplecpp.cpp:<global>,,<global>,,,1
141733920800,NAMESPACE_BLOCK,"namespace simplecpp {
    class Macro;
#if __cplusplus >= 201103L
    using MacroMap = std::unordered_map<TokenString,Macro>;
#else
    typedef std::map<TokenString,Macro> MacroMap;
#endif

    class Macro {
    public:
        explicit Macro(std::vector<std::string> &f) : nameTokDef(nullptr), valueToken(nullptr), endToken(nullptr), files(f), tokenListDefine(f), variadic(false), valueDefinedInCode_(false) {}

        Macro(const Token *tok, std::vector<std::string> &f) : nameTokDef(nullptr), files(f), tokenListDefine(f), valueDefinedInCode_(true) {
            if (sameline(tok->previousSkipComments(), tok))
                throw std::runtime_error(""bad macro syntax"");
            if (tok->op != '#')
                throw std::runtime_error(""bad macro syntax"");
            const Token * const hashtok = tok;
            tok = tok->next;
            if (!tok || tok->str() != DEFINE)
                throw std::runtime_error(""bad macro syntax"");
            tok = tok->next;
            i...",1,externals/simplecpp/simplecpp.cpp,simplecpp,1466,simplecpp,,,110
