146028888064,RETURN,1,,return false;,13,71,,,1
146028888065,RETURN,-1,,return true;,5,83,,,6
146028888066,RETURN,-1,,return true;,9,104,,,3
146028888067,RETURN,-1,,return false;,5,106,,,4
146028888068,RETURN,1,,return false;,9,113,,,1
146028888069,RETURN,-1,,return true;,5,115,,,4
146028888070,RETURN,-1,,return Path::isHeader(i);,9,185,,,1
146028888071,RETURN,-1,,"return matchglobs(mSettings.fileFilters, fs.filename());",17,205,,,1
146028888072,RETURN,-1,,return !mSettings.library.markupFile(fs.filename()) || !mSettings.library.processMarkupAfterCode(fs.filename());,13,253,,,1
146028888073,RETURN,-1,,return mSettings.library.markupFile(fs.filename()) && mSettings.library.processMarkupAfterCode(fs.filename());,13,257,,,1
146028888074,RETURN,-1,,return entry.path() == name;,21,301,,,1
146028888075,RETURN,-1,,"return matchglobs(mSettings.fileFilters, entry.path());",17,310,,,1
146028888076,RETURN,-1,,return !mSettings.library.markupFile(entry.path()) || !mSettings.library.processMarkupAfterCode(entry.path());,13,358,,,1
146028888077,RETURN,-1,,return mSettings.library.markupFile(entry.path()) && mSettings.library.processMarkupAfterCode(entry.path());,13,362,,,1
146028888078,RETURN,-1,,return true;,9,151,,,7
146028888079,RETURN,-1,,return false;,9,153,,,10
146028888080,RETURN,1,,return false;,9,159,,,1
146028888081,RETURN,1,,return false;,9,162,,,1
146028888082,RETURN,-1,,return false;,17,209,,,2
146028888083,RETURN,-1,,return false;,13,262,,,2
146028888084,RETURN,-1,,return false;,13,291,,,3
146028888085,RETURN,-1,,return false;,17,314,,,2
146028888086,RETURN,-1,,return false;,13,367,,,2
146028888087,RETURN,-1,,return true;,5,371,,,19
146028888088,RETURN,-1,,return Result::Exit;,9,385,,,2
146028888089,RETURN,-1,,return Result::Exit;,13,403,,,4
146028888090,RETURN,1,,return Result::Fail;,17,409,,,1
146028888091,RETURN,-1,,return Result::Exit;,13,416,,,3
146028888092,RETURN,-1,,return Result::Exit;,13,422,,,2
146028888093,RETURN,-1,,return Result::Exit;,13,429,,,1
