111669149696,METHOD,cli/cmdlinelogger.h:<global>,TYPE_DECL,<global>,1,27,cli/cmdlinelogger.h,cli/cmdlinelogger.h:<global>,<empty>,,false,1,37,<global>,,,1,
111669149697,METHOD,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"static bool addFilesToList(const std::string& fileList, std::vector<std::string>& pathNames)
{
    std::istream *files;
    std::ifstream infile;
    if (fileList == ""-"") { // read from stdin
        files = &std::cin;
    } else {
        infile.open(fileList);
        if (!infile.is_open())
            return false;
        files = &infile;
    }
    std::string fileName;
    // cppcheck-suppress accessMoved - FP
    while (std::getline(*files, fileName)) { // next line
        // cppcheck-suppress accessMoved - FP
        if (!fileName.empty()) {
            pathNames.emplace_back(std::move(fileName));
        }
    }

    return true;
}",1,1,cli/cmdlineparser.cpp,"addFilesToList:bool(std.string&,std.vector<std.string>&)",<empty>,,false,62,84,addFilesToList,,,1,"bool(std.string&,std.vector<std.string>&)"
111669149698,METHOD,cli/cmdlineparser.cpp:<global>,TYPE_DECL,<global>,1,1,cli/cmdlineparser.cpp,cli/cmdlineparser.cpp:<global>,<empty>,,false,1,2139,<global>,,,1,
111669149699,METHOD,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"static bool addIncludePathsToList(const std::string& fileList, std::list<std::string>& pathNames)
{
    std::ifstream files(fileList);
    if (files) {
        std::string pathName;
        // cppcheck-suppress accessMoved - FP
        while (std::getline(files, pathName)) { // next line
            if (!pathName.empty()) {
                pathName = Path::removeQuotationMarks(std::move(pathName));
                pathName = Path::fromNativeSeparators(std::move(pathName));

                // If path doesn't end with / or \\, add it
                if (!endsWith(pathName, '/'))
                    pathName += '/';

                pathNames.emplace_back(std::move(pathName));
            }
        }
        return true;
    }
    return false;
}",1,1,cli/cmdlineparser.cpp,"addIncludePathsToList:bool(std.string&,std.list<std.string>&)",<empty>,,false,86,107,addIncludePathsToList,,,1,"bool(std.string&,std.list<std.string>&)"
111669149700,METHOD,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"static bool addPathsToSet(const std::string& fileName, std::set<std::string>& set)
{
    std::list<std::string> templist;
    if (!addIncludePathsToList(fileName, templist))
        return false;
    set.insert(templist.cbegin(), templist.cend());
    return true;
}",1,1,cli/cmdlineparser.cpp,"addPathsToSet:bool(std.string&,std.set<std.string>&)",<empty>,,false,109,116,addPathsToSet,,,1,"bool(std.string&,std.set<std.string>&)"
111669149701,METHOD,XMLErrorMessagesLogger,TYPE_DECL,"void reportOut(const std::string & outmsg, Color /*c*/ = Color::Reset) override
        {
            std::cout << outmsg << std::endl;
        }",9,9,cli/cmdlineparser.cpp,"XMLErrorMessagesLogger.reportOut:void(std.string&,Color)",<empty>,,false,121,124,reportOut,,,1,"void(std.string&,Color)"
111669149702,METHOD,XMLErrorMessagesLogger,TYPE_DECL,"void reportErr(const ErrorMessage &msg) override
        {
            reportOut(msg.toXML());
        }",9,9,cli/cmdlineparser.cpp,XMLErrorMessagesLogger.reportErr:void(ErrorMessage&),<empty>,,false,126,129,reportErr,,,2,void(ErrorMessage&)
111669149703,METHOD,XMLErrorMessagesLogger,TYPE_DECL,"void reportProgress(const std::string & /*filename*/, const char /*stage*/[], const std::size_t /*value*/) override
        {}",9,10,cli/cmdlineparser.cpp,"XMLErrorMessagesLogger.reportProgress:void(std.string&,char[],std.size_t)",<empty>,,false,131,132,reportProgress,,,3,"void(std.string&,char[],std.size_t)"
111669149704,METHOD,cli/cmdlineparser.cpp:<global>,TYPE_DECL,"CmdLineParser::CmdLineParser(CmdLineLogger &logger, Settings &settings, Suppressions &suppressions)
    : mLogger(logger)
    , mSettings(settings)
    , mSuppressions(suppressions)
{}",1,2,cli/cmdlineparser.cpp,"CmdLineParser.CmdLineParser:ANY(CmdLineLogger&,Settings&,Suppressions&)",<empty>,,false,136,140,CmdLineParser,,,1,"CmdLineParser.CmdLineParser:ANY(CmdLineLogger&,Settings&,Suppressions&)(CmdLineLogger&,Settings&,Suppressions&)"
111669149705,METHOD,<empty>,<empty>,"[](const std::string& i) {
        return Path::isHeader(i);
    }",69,5,cli/cmdlineparser.cpp,cli/cmdlineparser.cpp:<global>.CmdLineParser.fillSettingsFromArgs.<lambda>0:bool(std.string&),<empty>,,false,184,186,<lambda>0,,,1,bool(std.string&)
111669149706,METHOD,<empty>,<empty>,"[&](const FileSettings &fs) {
                return matchglobs(mSettings.fileFilters, fs.filename());
            }",110,13,cli/cmdlineparser.cpp,cli/cmdlineparser.cpp:<global>.CmdLineParser.fillSettingsFromArgs.<lambda>1:bool(FileSettings&),<empty>,,false,204,206,<lambda>1,,,1,bool(FileSettings&)
